RprtDt,StateCd,MMMCd_2015,AvgAnlsdCmtdSuppBdgt,PrtcpntCnt
31-Mar-23,ALL,ALL,"75,000.00",54201
31-Mar-23,ACT,ALL,"69,000.00",1017
31-Mar-23,NSW,ALL,"80,000.00",19346
31-Mar-23,NT,ALL,"99,000.00",346
31-Mar-23,OT,ALL,"78,000.00",14
31-Mar-23,QLD,ALL,"74,000.00",6722
31-Mar-23,SA,ALL,"68,000.00",3676
31-Mar-23,TAS,ALL,"80,000.00",363
31-Mar-23,VIC,ALL,"71,000.00",18603
31-Mar-23,WA,ALL,"76,000.00",4114
31-Mar-23,ALL,MM,,<11
31-Mar-23,ALL,MM1,"75,000.00",49436
31-Mar-23,ALL,MM2,"79,000.00",2306
31-Mar-23,ALL,MM3,"73,000.00",1133
31-Mar-23,ALL,MM4,"78,000.00",515
31-Mar-23,ALL,MM5,"71,000.00",646
31-Mar-23,ALL,MM6,"86,000.00",162
31-Mar-23,ACT,MM1,"69,000.00",1015
31-Mar-23,ACT,MM2,,<11
31-Mar-23,NSW,MM,,<11
31-Mar-23,NSW,MM1,"80,000.00",18261
31-Mar-23,NSW,MM2,"80,000.00",151
31-Mar-23,NSW,MM3,"77,000.00",570
31-Mar-23,NSW,MM4,"76,000.00",177
31-Mar-23,NSW,MM5,"66,000.00",179
31-Mar-23,NSW,MM6,,<11
31-Mar-23,NT,MM2,"98,000.00",273
31-Mar-23,NT,MM5,,<11
31-Mar-23,NT,MM6,"101,000.00",72
31-Mar-23,OT,MM6,"78,000.00",14
31-Mar-23,QLD,MM1,"73,000.00",5398
31-Mar-23,QLD,MM2,"81,000.00",972
31-Mar-23,QLD,MM3,"64,000.00",84
31-Mar-23,QLD,MM4,"65,000.00",117
31-Mar-23,QLD,MM5,"85,000.00",132
31-Mar-23,QLD,MM6,"79,000.00",19
31-Mar-23,SA,MM1,"68,000.00",3457
31-Mar-23,SA,MM2,"109,000.00",30
31-Mar-23,SA,MM3,"63,000.00",88
31-Mar-23,SA,MM4,"38,000.00",30
31-Mar-23,SA,MM5,"76,000.00",58
31-Mar-23,SA,MM6,"105,000.00",13
31-Mar-23,TAS,MM2,"79,000.00",303
31-Mar-23,TAS,MM3,"64,000.00",28
31-Mar-23,TAS,MM5,"108,000.00",30
31-Mar-23,TAS,MM6,,<11
31-Mar-23,VIC,MM1,"71,000.00",17431
31-Mar-23,VIC,MM2,"61,000.00",505
31-Mar-23,VIC,MM3,"72,000.00",296
31-Mar-23,VIC,MM4,"99,000.00",177
31-Mar-23,VIC,MM5,"56,000.00",192
31-Mar-23,VIC,MM6,,<11
31-Mar-23,WA,MM,,<11
31-Mar-23,WA,MM1,"76,000.00",3874
31-Mar-23,WA,MM2,"102,000.00",70
31-Mar-23,WA,MM3,"66,000.00",67
31-Mar-23,WA,MM4,"43,000.00",14
31-Mar-23,WA,MM5,"82,000.00",54
31-Mar-23,WA,MM6,"67,000.00",34
31-Dec-22,ALL,ALL,"74,000.00",52521
31-Dec-22,ACT,ALL,"70,000.00",993
31-Dec-22,NSW,ALL,"78,000.00",18793
31-Dec-22,NT,ALL,"101,000.00",340
31-Dec-22,OT,ALL,"87,000.00",15
31-Dec-22,QLD,ALL,"74,000.00",6475
31-Dec-22,SA,ALL,"67,000.00",3579
31-Dec-22,TAS,ALL,"79,000.00",390
31-Dec-22,VIC,ALL,"70,000.00",17932
31-Dec-22,WA,ALL,"75,000.00",4004
31-Dec-22,ALL,MM,,<11
31-Dec-22,ALL,MM1,"74,000.00",47864
31-Dec-22,ALL,MM2,"80,000.00",2261
31-Dec-22,ALL,MM3,"71,000.00",1109
31-Dec-22,ALL,MM4,"77,000.00",493
31-Dec-22,ALL,MM5,"67,000.00",628
31-Dec-22,ALL,MM6,"88,000.00",164
31-Dec-22,ACT,MM1,"70,000.00",991
31-Dec-22,ACT,MM2,,<11
31-Dec-22,NSW,MM,,<11
31-Dec-22,NSW,MM1,"79,000.00",17741
31-Dec-22,NSW,MM2,"80,000.00",146
31-Dec-22,NSW,MM3,"75,000.00",560
31-Dec-22,NSW,MM4,"77,000.00",166
31-Dec-22,NSW,MM5,"62,000.00",172
31-Dec-22,NSW,MM6,,<11
31-Dec-22,NT,MM2,"100,000.00",269
31-Dec-22,NT,MM5,,<11
31-Dec-22,NT,MM6,"107,000.00",70
31-Dec-22,OT,MM6,"87,000.00",15
31-Dec-22,QLD,MM1,"73,000.00",5188
31-Dec-22,QLD,MM2,"81,000.00",946
31-Dec-22,QLD,MM3,"65,000.00",77
31-Dec-22,QLD,MM4,"60,000.00",117
31-Dec-22,QLD,MM5,"79,000.00",126
31-Dec-22,QLD,MM6,"79,000.00",21
31-Dec-22,SA,MM1,"66,000.00",3363
31-Dec-22,SA,MM2,"98,000.00",26
31-Dec-22,SA,MM3,"68,000.00",87
31-Dec-22,SA,MM4,"42,000.00",30
31-Dec-22,SA,MM5,"77,000.00",58
31-Dec-22,SA,MM6,"97,000.00",15
31-Dec-22,TAS,MM2,"80,000.00",320
31-Dec-22,TAS,MM3,"66,000.00",33
31-Dec-22,TAS,MM5,"85,000.00",35
31-Dec-22,TAS,MM6,,<11
31-Dec-22,VIC,MM1,"70,000.00",16807
31-Dec-22,VIC,MM2,"60,000.00",485
31-Dec-22,VIC,MM3,"69,000.00",287
31-Dec-22,VIC,MM4,"96,000.00",168
31-Dec-22,VIC,MM5,"57,000.00",183
31-Dec-22,VIC,MM6,,<11
31-Dec-22,WA,MM1,"75,000.00",3774
31-Dec-22,WA,MM2,"105,000.00",67
31-Dec-22,WA,MM3,"63,000.00",65
31-Dec-22,WA,MM4,"43,000.00",12
31-Dec-22,WA,MM5,"70,000.00",53
31-Dec-22,WA,MM6,"66,000.00",33
30-Sep-22,ALL,ALL,"72,000.00",50968
30-Sep-22,ACT,ALL,"68,000.00",986
30-Sep-22,NSW,ALL,"76,000.00",18213
30-Sep-22,NT,ALL,"104,000.00",329
30-Sep-22,OT,ALL,"87,000.00",15
30-Sep-22,QLD,ALL,"73,000.00",6284
30-Sep-22,SA,ALL,"65,000.00",3482
30-Sep-22,TAS,ALL,"76,000.00",388
30-Sep-22,VIC,ALL,"68,000.00",17386
30-Sep-22,WA,ALL,"72,000.00",3885
30-Sep-22,ALL,MM,,<11
30-Sep-22,ALL,MM1,"72,000.00",46430
30-Sep-22,ALL,MM2,"78,000.00",2200
30-Sep-22,ALL,MM3,"70,000.00",1088
30-Sep-22,ALL,MM4,"77,000.00",478
30-Sep-22,ALL,MM5,"65,000.00",605
30-Sep-22,ALL,MM6,"87,000.00",166
30-Sep-22,ACT,MM1,"68,000.00",979
30-Sep-22,ACT,MM2,,<11
30-Sep-22,NSW,MM,,<11
30-Sep-22,NSW,MM1,"77,000.00",17190
30-Sep-22,NSW,MM2,"83,000.00",148
30-Sep-22,NSW,MM3,"74,000.00",558
30-Sep-22,NSW,MM4,"75,000.00",159
30-Sep-22,NSW,MM5,"58,000.00",165
30-Sep-22,NSW,MM6,,<11
30-Sep-22,NT,MM2,"102,000.00",261
30-Sep-22,NT,MM5,,<11
30-Sep-22,NT,MM6,"109,000.00",72
30-Sep-22,OT,MM6,"87,000.00",15
30-Sep-22,QLD,MM1,"72,000.00",5031
30-Sep-22,QLD,MM2,"79,000.00",915
30-Sep-22,QLD,MM3,"64,000.00",80
30-Sep-22,QLD,MM4,"59,000.00",120
30-Sep-22,QLD,MM5,"74,000.00",127
30-Sep-22,QLD,MM6,"76,000.00",24
30-Sep-22,SA,MM1,"64,000.00",3275
30-Sep-22,SA,MM2,"100,000.00",27
30-Sep-22,SA,MM3,"69,000.00",79
30-Sep-22,SA,MM4,"46,000.00",31
30-Sep-22,SA,MM5,"74,000.00",54
30-Sep-22,SA,MM6,"82,000.00",16
30-Sep-22,TAS,MM2,"77,000.00",324
30-Sep-22,TAS,MM3,"62,000.00",34
30-Sep-22,TAS,MM5,"84,000.00",28
30-Sep-22,TAS,MM6,,<11
30-Sep-22,VIC,MM1,"69,000.00",16298
30-Sep-22,VIC,MM2,"56,000.00",470
30-Sep-22,VIC,MM3,"69,000.00",275
30-Sep-22,VIC,MM4,"100,000.00",161
30-Sep-22,VIC,MM5,"58,000.00",170
30-Sep-22,VIC,MM6,,<11
30-Sep-22,WA,MM1,"72,000.00",3656
30-Sep-22,WA,MM2,"107,000.00",66
30-Sep-22,WA,MM3,"56,000.00",70
30-Sep-22,WA,MM4,"43,000.00",12
30-Sep-22,WA,MM5,"66,000.00",46
30-Sep-22,WA,MM6,"67,000.00",33
30-Jun-22,ALL,ALL,"67,000.00",49201
30-Jun-22,ACT,ALL,"63,000.00",974
30-Jun-22,NSW,ALL,"71,000.00",17581
30-Jun-22,NT,ALL,"104,000.00",322
30-Jun-22,OT,ALL,"78,000.00",15
30-Jun-22,QLD,ALL,"68,000.00",6060
30-Jun-22,SA,ALL,"60,000.00",3359
30-Jun-22,TAS,ALL,"69,000.00",377
30-Jun-22,VIC,ALL,"64,000.00",16751
30-Jun-22,WA,ALL,"67,000.00",3762
30-Jun-22,ALL,MM,,<11
30-Jun-22,ALL,MM1,"67,000.00",44830
30-Jun-22,ALL,MM2,"74,000.00",2114
30-Jun-22,ALL,MM3,"66,000.00",1060
30-Jun-22,ALL,MM4,"73,000.00",452
30-Jun-22,ALL,MM5,"63,000.00",585
30-Jun-22,ALL,MM6,"84,000.00",158
30-Jun-22,ACT,MM1,"63,000.00",972
30-Jun-22,ACT,MM2,,<11
30-Jun-22,NSW,MM,,<11
30-Jun-22,NSW,MM1,"71,000.00",16578
30-Jun-22,NSW,MM2,"82,000.00",139
30-Jun-22,NSW,MM3,"68,000.00",548
30-Jun-22,NSW,MM4,"74,000.00",151
30-Jun-22,NSW,MM5,"54,000.00",158
30-Jun-22,NSW,MM6,,<11
30-Jun-22,NT,MM2,"101,000.00",257
30-Jun-22,NT,MM5,,<11
30-Jun-22,NT,MM6,"114,000.00",64
30-Jun-22,OT,MM6,"78,000.00",15
30-Jun-22,QLD,MM,,<11
30-Jun-22,QLD,MM1,"67,000.00",4866
30-Jun-22,QLD,MM2,"75,000.00",870
30-Jun-22,QLD,MM3,"61,000.00",74
30-Jun-22,QLD,MM4,"55,000.00",109
30-Jun-22,QLD,MM5,"73,000.00",118
30-Jun-22,QLD,MM6,"69,000.00",22
30-Jun-22,SA,MM1,"59,000.00",3156
30-Jun-22,SA,MM2,"86,000.00",23
30-Jun-22,SA,MM3,"79,000.00",82
30-Jun-22,SA,MM4,"42,000.00",28
30-Jun-22,SA,MM5,"66,000.00",55
30-Jun-22,SA,MM6,"80,000.00",15
30-Jun-22,TAS,MM2,"69,000.00",315
30-Jun-22,TAS,MM3,"59,000.00",30
30-Jun-22,TAS,MM5,"82,000.00",30
30-Jun-22,TAS,MM6,,<11
30-Jun-22,VIC,MM1,"64,000.00",15711
30-Jun-22,VIC,MM2,"53,000.00",444
30-Jun-22,VIC,MM3,"63,000.00",268
30-Jun-22,VIC,MM4,"92,000.00",152
30-Jun-22,VIC,MM5,"62,000.00",174
30-Jun-22,VIC,MM6,,<11
30-Jun-22,WA,MM1,"67,000.00",3547
30-Jun-22,WA,MM2,"93,000.00",64
30-Jun-22,WA,MM3,"53,000.00",58
30-Jun-22,WA,MM4,"41,000.00",12
30-Jun-22,WA,MM5,"63,000.00",49
30-Jun-22,WA,MM6,"54,000.00",32
31-Mar-22,ACT,ALL,"63,000.00",971
31-Mar-22,ACT,MM1,"63,000.00",964
31-Mar-22,ACT,MM2,,11
31-Mar-22,ALL,ALL,"66,000.00",47731
31-Mar-22,ALL,MM,,11
31-Mar-22,ALL,MM1,"66,000.00",43489
31-Mar-22,ALL,MM2,"72,000.00",2041
31-Mar-22,ALL,MM3,"65,000.00",1036
31-Mar-22,ALL,MM4,"74,000.00",434
31-Mar-22,ALL,MM5,"63,000.00",575
31-Mar-22,ALL,MM6,"84,000.00",155
31-Mar-22,MIS,ALL,,11
31-Mar-22,MIS,MM1,,11
31-Mar-22,NSW,ALL,"70,000.00",17041
31-Mar-22,NSW,MM,,11
31-Mar-22,NSW,MM1,"71,000.00",16065
31-Mar-22,NSW,MM2,"71,000.00",138
31-Mar-22,NSW,MM3,"69,000.00",542
31-Mar-22,NSW,MM4,"76,000.00",144
31-Mar-22,NSW,MM5,"51,000.00",157
31-Mar-22,NSW,MM6,,11
31-Mar-22,NT,ALL,"106,000.00",312
31-Mar-22,NT,MM2,"103,000.00",252
31-Mar-22,NT,MM5,,11
31-Mar-22,NT,MM6,"121,000.00",63
31-Mar-22,OT,ALL,"71,000.00",13
31-Mar-22,OT,MM6,"71,000.00",13
31-Mar-22,QLD,ALL,"67,000.00",5833
31-Mar-22,QLD,MM1,"67,000.00",4675
31-Mar-22,QLD,MM2,"72,000.00",844
31-Mar-22,QLD,MM3,"58,000.00",80
31-Mar-22,QLD,MM4,"55,000.00",105
31-Mar-22,QLD,MM5,"67,000.00",117
31-Mar-22,QLD,MM6,"70,000.00",25
31-Mar-22,SA,ALL,"59,000.00",3271
31-Mar-22,SA,MM1,"58,000.00",3080
31-Mar-22,SA,MM2,"82,000.00",23
31-Mar-22,SA,MM3,"76,000.00",76
31-Mar-22,SA,MM4,"44,000.00",30
31-Mar-22,SA,MM5,"68,000.00",46
31-Mar-22,SA,MM6,"75,000.00",16
31-Mar-22,TAS,ALL,"70,000.00",370
31-Mar-22,TAS,MM2,"70,000.00",312
31-Mar-22,TAS,MM3,"63,000.00",29
31-Mar-22,TAS,MM5,"82,000.00",26
31-Mar-22,TAS,MM6,,11
31-Mar-22,VIC,ALL,"63,000.00",16257
31-Mar-22,VIC,MM1,"63,000.00",15252
31-Mar-22,VIC,MM2,"52,000.00",418
31-Mar-22,VIC,MM3,"60,000.00",256
31-Mar-22,VIC,MM4,"92,000.00",149
31-Mar-22,VIC,MM5,"67,000.00",170
31-Mar-22,VIC,MM6,,11
31-Mar-22,WA,ALL,"65,000.00",3661
31-Mar-22,WA,MM1,"65,000.00",3450
31-Mar-22,WA,MM2,"85,000.00",65
31-Mar-22,WA,MM3,"50,000.00",61
31-Mar-22,WA,MM4,"38,000.00",12
31-Mar-22,WA,MM5,"55,000.00",45
31-Mar-22,WA,MM6,"52,000.00",35
31-Dec-21,ACT,ALL,"63,000.00",959
31-Dec-21,ACT,MM1,"63,000.00",952
31-Dec-21,ACT,MM2,,11
31-Dec-21,ALL,ALL,"66,000.00",46191
31-Dec-21,ALL,MM1,"66,000.00",42084
31-Dec-21,ALL,MM2,"71,000.00",1959
31-Dec-21,ALL,MM3,"64,000.00",1002
31-Dec-21,ALL,MM4,"69,000.00",422
31-Dec-21,ALL,MM5,"63,000.00",569
31-Dec-21,ALL,MM6,"84,000.00",154
31-Dec-21,NSW,ALL,"70,000.00",16576
31-Dec-21,NSW,MM1,"71,000.00",15614
31-Dec-21,NSW,MM2,"66,000.00",139
31-Dec-21,NSW,MM3,"69,000.00",528
31-Dec-21,NSW,MM4,"73,000.00",142
31-Dec-21,NSW,MM5,"55,000.00",159
31-Dec-21,NSW,MM6,,11
31-Dec-21,NT,ALL,"104,000.00",299
31-Dec-21,NT,MM2,"102,000.00",240
31-Dec-21,NT,MM5,,11
31-Dec-21,NT,MM6,"116,000.00",62
31-Dec-21,OT,ALL,"71,000.00",13
31-Dec-21,OT,MM6,"71,000.00",13
31-Dec-21,QLD,ALL,"67,000.00",5540
31-Dec-21,QLD,MM1,"66,000.00",4444
31-Dec-21,QLD,MM2,"73,000.00",796
31-Dec-21,QLD,MM3,"59,000.00",74
31-Dec-21,QLD,MM4,"51,000.00",97
31-Dec-21,QLD,MM5,"73,000.00",118
31-Dec-21,QLD,MM6,"68,000.00",24
31-Dec-21,SA,ALL,"59,000.00",3172
31-Dec-21,SA,MM1,"58,000.00",2989
31-Dec-21,SA,MM2,"87,000.00",22
31-Dec-21,SA,MM3,"74,000.00",69
31-Dec-21,SA,MM4,"42,000.00",32
31-Dec-21,SA,MM5,"71,000.00",42
31-Dec-21,SA,MM6,"93,000.00",22
31-Dec-21,TAS,ALL,"69,000.00",361
31-Dec-21,TAS,MM2,"69,000.00",302
31-Dec-21,TAS,MM3,"63,000.00",24
31-Dec-21,TAS,MM5,"78,000.00",31
31-Dec-21,TAS,MM6,,11
31-Dec-21,VIC,ALL,"62,000.00",15731
31-Dec-21,VIC,MM1,"62,000.00",14746
31-Dec-21,VIC,MM2,"52,000.00",402
31-Dec-21,VIC,MM3,"57,000.00",252
31-Dec-21,VIC,MM4,"84,000.00",144
31-Dec-21,VIC,MM5,"62,000.00",170
31-Dec-21,VIC,MM6,,11
31-Dec-21,WA,ALL,"64,000.00",3540
31-Dec-21,WA,MM1,"65,000.00",3337
31-Dec-21,WA,MM2,"82,000.00",69
31-Dec-21,WA,MM3,"51,000.00",49
31-Dec-21,WA,MM4,,11
31-Dec-21,WA,MM5,"52,000.00",44
31-Dec-21,WA,MM6,"53,000.00",35
